internal_id,i,total_revenue,total_jobs,direct_value_add,total_value_add,direct_jobs
Kittitas,Orchard,1,1.98E-05,1,0.842602,1.51E-05
Kittitas,Seed,1,4.94E-05,1,0.898479,4.53E-05
Kittitas,Vegetable,1,1.83E-05,1,0.771471,1.42E-05
Kittitas,Vineyard,1,1.98E-05,1,0.842602,1.51E-05
Kittitas,Berry,1,1.98E-05,1,0.842602,1.51E-05
Kittitas,Cereal Grain,1,1.01E-05,1,0.524736,4.37E-06
Kittitas,Hay/Silage,1,1.01E-05,1,0.524736,4.37E-06
Kittitas,Herb,1,4.94E-05,1,0.898479,4.53E-05
Kittitas,Oilseed,1,3.10E-06,1,1.133723,7.70E-07
Kittitas,Orchard,1,1.98E-05,1,0.842602,1.51E-05
Kittitas,Seed,1,4.94E-05,1,0.898479,4.53E-05
Kittitas,Vegetable,1,1.83E-05,1,0.771471,1.42E-05
Kittitas,Vineyard,1,1.98E-05,1,0.842602,1.51E-05
Kittitas,Berry,1,1.98E-05,1,0.842602,1.51E-05
Kittitas,Cereal Grain,1,1.01E-05,1,0.524736,4.37E-06
Kittitas,Hay/Silage,1,1.01E-05,1,0.524736,4.37E-06
Kittitas,Herb,1,4.94E-05,1,0.898479,4.53E-05
Kittitas,Oilseed,1,3.10E-06,1,1.133723,7.70E-07
Kittitas,Orchard,1,1.98E-05,1,0.842602,1.51E-05
Kittitas,Seed,1,4.94E-05,1,0.898479,4.53E-05
Kittitas,Vegetable,1,1.83E-05,1,0.771471,1.42E-05
Kittitas,Vineyard,1,1.98E-05,1,0.842602,1.51E-05
Kittitas,Berry,1,1.98E-05,1,0.842602,1.51E-05
Kittitas,Cereal Grain,1,1.01E-05,1,0.524736,4.37E-06
Kittitas,Hay/Silage,1,1.01E-05,1,0.524736,4.37E-06
Kittitas,Herb,1,4.94E-05,1,0.898479,4.53E-05
Kittitas,Oilseed,1,3.10E-06,1,1.133723,7.70E-07
Kittitas,Orchard,1,1.98E-05,1,0.842602,1.51E-05
Kittitas,Seed,1,4.94E-05,1,0.898479,4.53E-05
Kittitas,Vegetable,1,1.83E-05,1,0.771471,1.42E-05
Kittitas,Vineyard,1,1.98E-05,1,0.842602,1.51E-05
Kittitas,Berry,1,1.98E-05,1,0.842602,1.51E-05
Kittitas,Cereal Grain,1,1.01E-05,1,0.524736,4.37E-06
Kittitas,Hay/Silage,1,1.01E-05,1,0.524736,4.37E-06
Kittitas,Herb,1,4.94E-05,1,0.898479,4.53E-05
Kittitas,Oilseed,1,3.10E-06,1,1.133723,7.70E-07
Kittitas,Orchard,1,1.98E-05,1,0.842602,1.51E-05
Kittitas,Seed,1,4.94E-05,1,0.898479,4.53E-05
Kittitas,Vegetable,1,1.83E-05,1,0.771471,1.42E-05
Kittitas,Vineyard,1,1.98E-05,1,0.842602,1.51E-05
Yakima,Berry,1,1.74E-05,1,0.997633,1.03E-05
Yakima,Cereal Grain,1,1.16E-05,1,0.733969,2.94E-06
Yakima,Hay/Silage,1,1.16E-05,1,0.733969,2.94E-06
Yakima,Herb,1,2.43E-05,1,1.047081,1.82E-05
Yakima,Oilseed,1,0,1,0,0
Yakima,Orchard,1,1.74E-05,1,0.997633,1.03E-05
Yakima,Seed,1,2.43E-05,1,1.047081,1.82E-05
Yakima,Vegetable,1,1.70E-05,1,0.916942,1.09E-05
Yakima,Vineyard,1,1.74E-05,1,0.997633,1.03E-05
Yakima,Berry,1,1.74E-05,1,0.997633,1.03E-05
Yakima,Cereal Grain,1,1.16E-05,1,0.733969,2.94E-06
Yakima,Hay/Silage,1,1.16E-05,1,0.733969,2.94E-06
Yakima,Herb,1,2.43E-05,1,1.047081,1.82E-05
Yakima,Oilseed,1,0,1,0,0
Yakima,Orchard,1,1.74E-05,1,0.997633,1.03E-05
Yakima,Seed,1,2.43E-05,1,1.047081,1.82E-05
Yakima,Vegetable,1,1.70E-05,1,0.916942,1.09E-05
Yakima,Vineyard,1,1.74E-05,1,0.997633,1.03E-05
Yakima,Berry,1,1.74E-05,1,0.997633,1.03E-05
Yakima,Cereal Grain,1,1.16E-05,1,0.733969,2.94E-06
Yakima,Hay/Silage,1,1.16E-05,1,0.733969,2.94E-06
Yakima,Herb,1,2.43E-05,1,1.047081,1.82E-05
Yakima,Oilseed,1,0,1,0,0
Yakima,Orchard,1,1.74E-05,1,0.997633,1.03E-05
Yakima,Seed,1,2.43E-05,1,1.047081,1.82E-05
Yakima,Vegetable,1,1.70E-05,1,0.916942,1.09E-05
Yakima,Vineyard,1,1.74E-05,1,0.997633,1.03E-05
Yakima,Berry,1,1.74E-05,1,0.997633,1.03E-05
Yakima,Cereal Grain,1,1.16E-05,1,0.733969,2.94E-06
Yakima,Hay/Silage,1,1.16E-05,1,0.733969,2.94E-06
Yakima,Herb,1,2.43E-05,1,1.047081,1.82E-05
Yakima,Oilseed,1,0,1,0,0
Yakima,Orchard,1,1.74E-05,1,0.997633,1.03E-05
Yakima,Seed,1,2.43E-05,1,1.047081,1.82E-05
Yakima,Vegetable,1,1.70E-05,1,0.916942,1.09E-05
Yakima,Vineyard,1,1.74E-05,1,0.997633,1.03E-05
Yakima,Berry,1,1.74E-05,1,0.997633,1.03E-05
Yakima,Cereal Grain,1,1.16E-05,1,0.733969,2.94E-06
Yakima,Hay/Silage,1,1.16E-05,1,0.733969,2.94E-06
Yakima,Herb,1,2.43E-05,1,1.047081,1.82E-05
Yakima,Oilseed,1,0,1,0,0
Yakima,Orchard,1,1.74E-05,1,0.997633,1.03E-05
Yakima,Seed,1,2.43E-05,1,1.047081,1.82E-05
Yakima,Vegetable,1,1.70E-05,1,0.916942,1.09E-05
Yakima,Vineyard,1,1.74E-05,1,0.997633,1.03E-05
Yakima,Berry,1,1.74E-05,1,0.997633,1.03E-05
Yakima,Cereal Grain,1,1.16E-05,1,0.733969,2.94E-06
Yakima,Hay/Silage,1,1.16E-05,1,0.733969,2.94E-06
Yakima,Herb,1,2.43E-05,1,1.047081,1.82E-05
Yakima,Oilseed,1,0,1,0,0
Yakima,Orchard,1,1.74E-05,1,0.997633,1.03E-05
Yakima,Seed,1,2.43E-05,1,1.047081,1.82E-05
Yakima,Vegetable,1,1.70E-05,1,0.916942,1.09E-05
Yakima,Vineyard,1,1.74E-05,1,0.997633,1.03E-05
Yakima,Berry,1,1.74E-05,1,0.997633,1.03E-05
Yakima,Cereal Grain,1,1.16E-05,1,0.733969,2.94E-06
Yakima,Hay/Silage,1,1.16E-05,1,0.733969,2.94E-06
Yakima,Herb,1,2.43E-05,1,1.047081,1.82E-05
Yakima,Oilseed,1,0,1,0,0
Yakima,Orchard,1,1.74E-05,1,0.997633,1.03E-05
Yakima,Seed,1,2.43E-05,1,1.047081,1.82E-05
Yakima,Vegetable,1,1.70E-05,1,0.916942,1.09E-05
Yakima,Vineyard,1,1.74E-05,1,0.997633,1.03E-05
Yakima,Berry,1,1.74E-05,1,0.997633,1.03E-05
Yakima,Cereal Grain,1,1.16E-05,1,0.733969,2.94E-06
Yakima,Hay/Silage,1,1.16E-05,1,0.733969,2.94E-06
Yakima,Herb,1,2.43E-05,1,1.047081,1.82E-05
Yakima,Oilseed,1,0,1,0,0
Yakima,Orchard,1,1.74E-05,1,0.997633,1.03E-05
Yakima,Seed,1,2.43E-05,1,1.047081,1.82E-05
Yakima,Vegetable,1,1.70E-05,1,0.916942,1.09E-05
Yakima,Vineyard,1,1.74E-05,1,0.997633,1.03E-05
Yakima,Berry,1,1.74E-05,1,0.997633,1.03E-05
Yakima,Cereal Grain,1,1.16E-05,1,0.733969,2.94E-06
Yakima,Hay/Silage,1,1.16E-05,1,0.733969,2.94E-06
Yakima,Herb,1,2.43E-05,1,1.047081,1.82E-05
Yakima,Oilseed,1,0,1,0,0
Yakima,Orchard,1,1.74E-05,1,0.997633,1.03E-05
Yakima,Seed,1,2.43E-05,1,1.047081,1.82E-05
Yakima,Vegetable,1,1.70E-05,1,0.916942,1.09E-05
Yakima,Vineyard,1,1.74E-05,1,0.997633,1.03E-05
Yakima,Berry,1,1.74E-05,1,0.997633,1.03E-05
Yakima,Cereal Grain,1,1.16E-05,1,0.733969,2.94E-06
Yakima,Hay/Silage,1,1.16E-05,1,0.733969,2.94E-06
Yakima,Herb,1,2.43E-05,1,1.047081,1.82E-05
Yakima,Oilseed,1,0,1,0,0
Yakima,Orchard,1,1.74E-05,1,0.997633,1.03E-05
Yakima,Seed,1,2.43E-05,1,1.047081,1.82E-05
Yakima,Vegetable,1,1.70E-05,1,0.916942,1.09E-05
Yakima,Vineyard,1,1.74E-05,1,0.997633,1.03E-05
Okanogan,Berry,1,5.228487e-06,1,1.91252,1.9681658e-05
Okanogan,Cereal Grain,1,6.9235e-06,1,2.74046,5.709001e-06
Okanogan,Hay/Silage,1,6.9235e-06,1,2.74046,5.709001e-06
Okanogan,Herb,1,3.5871469999999997e-06,1,1.35679,6.4933199e-05
Okanogan,Orchard,1,5.228487e-06,1,1.912526,1.9681658e-05
Okanogan,Vegetable,1,4.227303e-06,1,1.67231,1.7886811000000003e-05
Okanogan,Vineyard,1,5.228487e-06,1,1.91252,1.9681658e-05
